약용식물번호,식물분류명,약용식물종명,식물과명,식물종학명,삭물생태설명,약용식물분포설명,약용식물약재명,이용방법설명,약용식물효과설명,약용식물복용방법설명
156,피자식물/쌍자엽식물,비파나무,장미과(Rosaceae),Eriobotrya japonica (Thunb.) Lindl.,식재하는 상록소교목으로 높이 10m에 달하고 어린 가지는 연한 갈색을 띠는 밀모가 있다. 잎은 어긋나기하며 장난형으로 첨두 예저이고 가장자리에 치아상의 톱니가 있다. 꽃은 백색으로 피고 10∼11월 가지 끝에 원추화서로 달린다. 열매는 이과로 다음 해 6월에 황색으로 익으며 종자는 흑색이다. ☞ 다정큼나무보다 꽃받침이 숙존하고 과실은 약간 크고 황색이다.,"한국(남부), 중국, 일본",비파엽(枇杷葉),잎을 연중 채취하여 햇볕에 말린다.,"간 기능회복, 간염, 간장암, 개선, 거담, 견비통, 고혈압, 골수암, 골절증, 기관지염, 만성피로, 목소양증, 식도암, 여드름, 오십견, 위궤양, 위암, 유방동통, 윤폐, 전립선비대증, 전립선암, 직장암, 질벽염, 탄산토산, 토혈, 통증, 편도선염, 폐결핵, 폐암, 피부윤택, 화상, 후두암 등",(내복): 탕전(湯煎)하거나 환제 또는 가루약으로 하여 복용한다.
157,피자식물/쌍자엽식물,큰뱀무,장미과(Rosaceae),Geum aleppicum Jacq.,산골짜기 냇가에 자라는 다년초로 높이 30∼100㎝이고 전체에 옆으로 퍼진 털이 있다. 뿌리에 돋은 잎은 잎자루가 길며 우상복엽이고 줄기에 달린 잎은 짧은 잎자루와 3∼5개의 소엽이 있으며 도란형이고 결각이 있다. 꽃은 황색으로 6∼7월에 핀다. 열매는 수과이며 털이 있다. ☞ 뱀무보다 과실에 선모가 없고 소화경에 퍼지는 털이 있다.,"한국(전국), 중국, 일본, 러시아, 중앙아시아, 유럽.",오기조양초(五氣朝陽草),전초를 여름에서 가을에 채취하여 그늘에서 말린다.,"강심, 거풍제습, 경련, 고혈압, 관절통, 옹저, 위궤양, 인통, 적백리, 제습, 종독, 진경, 치혈, 타박상, 토혈, 풍, 해소, 활혈, 활혈소종",(내복): 탕전(湯煎)하거나 즙을 내어 복용한다. (내복): 짓찧어 상처부위에 바른다.
158,피자식물/쌍자엽식물,황매화,장미과(Rosaceae),Kerria japonica (L.) DC.,습한 곳에 자라는 낙엽관목으로 높이가 2m에 달하고 가지는 녹색이고 털이 없다. 잎은 어긋나기하며 타원형 또는 장난형으로 점첨두 예저 또는 아심장저이고 결각상의 톱니가 있다. 꽃은 황색으로 4∼5월 가지 끝에서 잎과 같이 핀다. 열매는 작은 견과로 꽃받침 안에 흑갈색으로 익는다. ☞ 병아리꽃나무보다 잎이 어긋나기하고 꽃은 황색이며 5수성이다.,"한국(중남부), 중국, 일본",체당화(ㅁ棠花),"가지와 잎은 5∼6월에, 꽃은 8∼9월에 채취하여 햇볕에 말린다.","거풍윤장, 관절염, 류머티즘, 소아감적, 소화불량, 지해화담, 창독, 토혈각혈, 폐기천식, 풍, 해수",(내복): 탕전(湯煎)하여 복용한다.
159,피자식물/쌍자엽식물,가락지나물,장미과(Rosaceae),Potentilla anemonefolia Lehm.,습기가 있는 곳에 자라는 다년초로 높이가 20∼60㎝이고 잎겨드랑이에서 가지가 뻗는다. 근생엽은 긴 잎자루 끝에 장상복엽이 달리고 소엽은 난형 또는 도피침형으로 둔두이며 예저이다. 꽃은 황색으로 피고 5∼7월 취산화서에 많이 달린다. 열매는 수과로 털이 없고 세로로 주름이 진다.,"한국(전국), 중국, 일본",사함(蛇含),전초를 개화기에 채취하여 햇볕에 말린다.,"말라리아, 사교상, 소아경풍, 옹종, 인후통, 종독, 청열, 해독, 해수, 해열",(내복): 탕전(湯煎)하거나 즙을 내어 복용한다. (외용): 짓찧어서 상처 부위에 붙이거나 달여서 상처 부위를 닦아 낸다.
160,피자식물/쌍자엽식물,딱지꽃,장미과(Rosaceae),Potentilla chinensis Ser.,산야의 양지에 자라는 다년초로 높이가 30∼60㎝이며 뿌리가 굵다. 잎은 우상복엽으로 근생엽은 옆으로 퍼지고 줄기에 달린 잎은 어긋나기하며 밑부분의 것은 점차 작아진다. 꽃은 황색으로 6∼7월에 피고 취산화서로 달린다. 열매는 수과로 넓은 난형이고 세로로 주름이 진다. ☞ 넓은양지꽃에 비해 근생엽에 소엽이 많고 소엽이 갈라진다.,"한국(전국), 중국, 일본, 러시아, 대만, 몽고",위릉채(萎陵菜),전초를 봄부터 가을에 채취하여 햇볕에 말린다.,"골격통, 골절, 근골동통, 근육통, 보익, 부인하혈, 양혈, 지혈, 옴, 이질, 자궁내막염, 제습, 종독, 지혈, 청열해독, 토혈각혈, 통경, 폐결핵, 폐보, 풍, 하리, 해독, 해열",(내복): 탕전(湯煎)하거나 즙을 내어 복용한다. (외용): 짓찧어서 상처 부위에 붙이거나 가루 내어 상처 부위에 사용한다.
161,피자식물/쌍자엽식물,물양지꽃,장미과(Rosaceae),Potentilla cryptotaeniae Maxim.,깊은 산의 냇가에 자라는 다년초로 높이 30∼100㎜이며 전체에 털이 있다. 뿌리에서 돋은 잎은 꽃이 필 때 말라 없어지고 줄기에 달린 잎은 3출엽으로 어긋나기하며 소엽은 타원형으로 양 끝이 좁고 가장자리에 둔한 톱니가 있다. 꽃은 황색으로 피고 7∼8월 취산상으로 달린다. 열매는 수과로 잔주름이 있다. ☞ 딱지꽃보다 잎이 3개의 소엽으로 되고 잎 뒷면에 백색 선모가 있다.,"한국(전국), 중국, 일본, 러시아",낭아위릉채(狼牙萎陵菜),전초를 채취하여 햇볕에 말린다.,"해독, 항균, 지혈, 구충, 창독, 구내염.",(내복): 탕전(湯煎)하여 복용한다.
162,피자식물/쌍자엽식물,양지꽃,장미과(Rosaceae),Potentilla fragarioides var. major Maxim.,산야의 양지에 자라는 다년초로 높이 30∼50㎝이며 전체에 털이 있다. 뿌리에서 돋은 잎은 여러 개가 나와 비스듬히 퍼지며 잎자루가 길고 3∼15개의 소엽으로 구성된 우상복엽으로 맥 위에 털이 있고 가장자리에 톱니가 있다. 꽃은 황색으로 4∼6월에 핀다. 열매는 난형이며 가는 주름이 있다. ☞ 제주양지꽃보다 소엽이 많고 줄기와 잎자루가 녹색이다.,"한국(전국), 중국, 일본, 러시아",치자연(雉子筵),전초를 여름에 채취하여 햇볕에 말린다.,"건위, 구창, 보음도, 영양장애, 월경이상, 익중기, 지혈, 토혈각혈, 폐결핵, 해수, 허약체질",(내복): 탕전(湯煎)하여 복용한다.
163,피자식물/쌍자엽식물,살구나무,장미과(Rosaceae),Prunus armeniaca var. ansu Maxim.,재배하는 낙엽소교목으로 높이가 5m에 달하고 나무껍질에 코르크질이 발달하지 않는다. 잎은 어긋나기하며 타원형 또는 난형으로 점첨두이고 절저 또는 넓은 예저이며 가장자리에 불규칙한 톱니가 있다. 꽃은 연한 홍색으로 4월에 잎보다 먼저 핀다. 열매는 둥글고 털이 많으며 7월에 황색으로 익는다. ☞ 시베리아살구보다 종자에 날개가 없고 잎에 톱니가 있다.,"한국(전국), 중국",행인(杏仁),"과실 성숙기에 채취, 과육을 제거하고 종인을 햇볕에 말린다.","각기. 결막염, 골수암, 광견병, 구내염, 기관지염, 난관난소염, 뇌암, 방광암, 요결석, 위경련, 인두염, 자궁근종, 전립선비대증, 종독, 중이염, 중풍, 진경, 진정, 척추질환, 충치, 치통, 편도선염, 폐결핵, 폐부종, 폐암, 피부윤택, 혈압조절, 호흡기질환, 환각치료, 후두암 등",(내복): 탕전(湯煎)하거나 환제 또는 가루약으로 복용한다. (외용): 짓찧어 상처 부위에 붙인다.
176,피자식물/쌍자엽식물,해당화,장미과(Rosaceae),Rosa rugosa Thunb.,바닷가에 자라는 낙엽관목으로 높이가 1.5m에 달하며 줄기에 가시와 가시털이 있다. 잎은 어긋나기하고 7∼9개의 소엽으로 구성된 홀수 우상복엽이며 소엽은 두껍고 원두이고 넓은 예저이며 표면에 주름살이 많다. 꽃은 홍자색으로 5∼7월에 핀다. 열매는 수과로 타원형이고 길이 4㎜ 정도로서 털이 없다. ☞ 인가목에 비해 가시에 융털이 있으며 잎에 주름이 많다.,"한국(전국 해안가), 중국, 일본, 러시아, 북아메리카",매괴화(ㅁㅁ花),꽃이 필 때 채취하여 그늘에서 말린다.,"각혈, 객혈, 건위, 견인통, 경혈, 관절염, 금창, 양혈거풍, 월경이상, 유뇨, 유선염, 이기, 장간막탈출증, 제습, 종독, 지혈, 진통, 치통, 타박상, 토혈각혈, 통경, 통기, 폐혈, 해울, 협통, 화혈산어, 활혈",(내복): 탕전(湯煎)하거나 환제로 하여 또는 술에 담가 복용한다. ☞ 음허자(陰虛者)는 복용을 금한다.
177,피자식물/쌍자엽식물,복분자딸기,장미과(Rosaceae),Rubus coreanus Miq.,"산기슭 양지에 자라는 낙엽관목으로 높이가 3m에 달하고 끝이 휘어져 땅에 닿으면 뿌리를 내린다. 잎은 어긋나기하고 우상복엽이며 소엽은 3∼7개이고 난형 또는 타원형이며 예두이고 넓은 예저 또는 원저이다. 꽃은 연한 홍색으로 5∼6월에 핀다. 열매는 둥글고 적색으로 익지만, 나중에 흑색으로 된다. ☞ 가시복분자딸기보다 줄기는 서고 열매껍질의 잎이 크다.","한국(전국), 중국",복분자(覆盆子),미성숙 녹색 과실을 채취하여 햇볕에 말린다.,"강장, 강장보호, 강정제, 명안, 부인하혈, 보간신, 빈뇨, 양모, 양모발약, 양위, 유정, 유정증, 음왜, 발기불능, 익신고정, 자양강장, 정력감퇴, 정력증진, 정수고갈, 조루증, 지사, 청량, 태생, 통기, 허약체질",(내복): 탕전(湯煎)하거나 환제 또는 가루약으로 복용한다. 혹은 술에 담가 복용하기도 한다.
178,피자식물/쌍자엽식물,산딸기,장미과(Rosaceae),Rubus crataegifolius Bunge,산기슭에 자라는 낙엽아관목으로 높이가 2m에 달하고 뿌리에서 싹이 나와 군집을 형성한다. 잎은 손바닥 모양이고 열편은 난상 또는 난상 피침형이고 예두 또는 점첨두이며 겹톱니가 있으며 갈퀴 같은 가시가 있다. 꽃은 백색으로 6월에 산방화서로 2개씩 달린다. 열매는 둥글고 7∼8월에 황홍색으로 익는다. ☞ 섬딸기에 비해 원줄기에 가시가 있다.,"한국(전국), 중국, 일본, 러시아",복분자(覆盆子),덜 익은 열매를 채취하여 햇볕에 말린다. 끓는 물에 1∼2분 넣었다가 꺼내어 햇볕에 말린다.,"강장, 강장보호, 강정제, 목마름, 만성간염, 명목, 발기불능, 보간신, 빈뇨, 양모, 유정, 지사, 청량.","(내복): 탕전(湯煎)하거나, 가루약으로 또는 환제로 복용한다."
179,피자식물/쌍자엽식물,멍석딸기,장미과(Rosaceae),Rubus parvifolius L.,"산기슭 낮은 지대에 자라고 옆으로 벋으며 짧은 가시와 털이 있다. 잎은 어긋나기하고 3출엽이지만 맹아에는 5개씩 달리는 것도 있으며 소엽은 둔두 예저이며 정소엽은 3개로 갈라진다. 꽃은 산방화서, 원추화서, 또는 총사화서로 달린다. 열매는 둥글며 7∼8월에 적색으로 익는다. ☞ 거지딸기보다 백모가 밀생하고 줄기에 바늘 모양의 가시가 많다.","한국(전국), 중국, 일본, 러시아, 중앙아시아",호전표(ㅁ田),전초를 果期에 채취하여 햇볕에 말린다.,"간열, 감염, 감기, 강장, 강장보호, 경혈, 버짐, 산어지통, 살충, 악창, 양모, 양모발약, 옴, 인후통증, 림프절염, 제습, 종독, 지갈, 진통, 청량, 치핵, 타박상, 토혈, 토혈각혈, 통리수도, 풍, 하리, 해독, 해수, 해열, 활혈",(내복): 탕전(湯煎)하여 복용한다. (외용): 짓찧어 상처 부위에 붙이거나 달여서 상처 부위를 닦아 낸다.
180,피자식물/쌍자엽식물,산오이풀,장미과(Rosaceae),Sanguisorba hakusanensis Makino,고산지대에 자라는 다년초로서 높이 30∼80㎝이고 털이 거의 없다. 뿌리에서 돋은 잎은 입자루가 길며 4∼6쌍의 소엽으로 구성된 홀수 1회 우상복엽이고 소엽은 장타원형이며 끝이 둥글고 원저 또는 심장저이며 가장자리에 톱니가 있다. 꽃은 백색으로 8∼9월에 가지 끝에 긴 원기둥꼴의 꽃차례가 밑으로 처진다. ☞ 구름오이풀보다 잎의 톱니가 크고 포가 크다.,한국(전국) 특산,지유(地楡),뿌리와 줄기를 채취하여 햇볕에 말린다.,"객혈, 견교독, 경혈, 누혈, 대하, 동상, 산후복통, 수감, 습진, 양혈지혈, 옹종, 월경과다, 지혈, 창종, 충독, 치루, 치질출혈, 치창, 치출혈, 치통, 치풍, 토혈, 토혈각혈, 하리, 해독, 혈리.",(내복): 탕전(湯煎)하여 복용한다. (외용): 달여서 상처 부위를 닦아낸다.
181,피자식물/쌍자엽식물,오이풀,장미과(Rosaceae),Sanguisorba officinalis L.,산야에 자라는 다년초로서 높이 30∼150㎝이며 원줄기는 곧추 자라고 전체에 털이 없다. 잎은 잎자루가 길며 1회 우상복엽이고 소엽은 5∼11개이며 타원형 또는 난형이고 원두 심장저 또는 원저이다. 꽃은 적색으로 7∼9월에 수상화서로 달린다. 열매는 수과로 꽃받침으로 싸여 있다.,"한국(전국), 중국, 일본, 러시아, 중앙아시아, 유럽",지유(地楡),뿌리를 가을에 경엽이 마른 후 채취하여 햇볕에 말린다.,"각혈, 객혈, 견교독, 골절, 누혈, 대하, 동상, 산후복통, 수감, 습진, 양혈거풍, 양혈지혈, 열질, 오줌소태, 옹저, 완선, 월경과다, 위궤양, 음부소양, 장염, 장출혈, 적백리, 종기, 종독, 지혈, 진통, 치핵, 타박상, 토혈, 토혈각혈, 피부궤양, 하리, 해독, 혈담, 혈우병, 화상, 활혈 등",(내복): 탕전(湯煎)하거나 환제 또는 가루약으로 복용한다. (외용): 분말로 또는 짓찧어 상처 부위에 사용한다.
129,피자식물/쌍자엽식물,갓,십자화과(Cruciferae),Brassica juncea (L.) Czern.,채소로 널리 심고 있는 일년초로서 높이가 1m에 달하며 윗부분에서 가지가 갈라진다. 뿌리에 돋는 잎은 타원형 또는 도란형이며 끝이 둥글고 밑부분이 좁아져서 짧은 잎자루가 되며 가장자리에 불규칙한 톱니가 있다. 꽃은 황색으로 봄부터 여름까지 총상화서로 달린다. 열매는 긴 각과이며 종자는 윤기가 있다. ☞ 줄기의 잎 기부가 줄기를 감싸지 않으며 잎은 흔히 흑자색을 띤다.,"한국(중남부), 중국",백개자(白芥子),종자를 채취하여 햇볕에 말린다.,"감기, 강심, 강심제, 거담, 건위, 기관지염, 소담음, 소생, 실신, 열격, 온중산한, 위한토식, 이뇨, 이병, 인플루엔자, 열격, 최면제, 통경, 폐결핵, 폐렴, 폐한해수, 피부병, 해수, 해소, 혈기심통, 화비위",(내복): 탕전(湯煎)하거나 환제로 복용한다. ☞ 폐가 허하여 기침하는 경우는 금한다.
130,피자식물/쌍자엽식물,유채,십자화과(Cruciferae),Brassica napus L.,"재배하는 이년 초로 높이가 1m에 달한다. 줄기에 달린 잎은 깃처럼 갈라지는 것도 있고 끝이 둔한 치아상의 톱니가 있다. 꽃은 황색으로 4월경 가지와 원줄기 끝에 총상화서로 달린다. 열매는 각과로 끝에 긴 부리가 있고 원기둥꼴이며 종자는 검은 갈색이다. ☞ 줄기의 잎은 기부가 줄기를 감싸고, 잎은 흑자색을 띄지 않는다.","한국(남부), 중국",운대자(蕓ㅁ子),종자를 5∼6월경에 채취하여 햇볕에 말린다.,"단독, 산혈, 소종, 악창, 어혈복통, 옹종, 유방염, 이질, 종기, 종독, 치루, 치창, 통기, 편두통, 풍, 활혈",(내복): 탕전(湯煎)하거나 환제 또는 가루약으로 복용한다. (외용): 연미로 하거나 기름을 짜서 상처 부위에 사용한다.
131,피자식물/쌍자엽식물,냉이,십자화과(Cruciferae),Capsella bursapastoris (L.) L.W.Medik.,산야에 자라는 이년 초로 높이 10∼50㎝이고 전체에 털이 있으며 뿌리가 곧고 백색이다. 뿌리에서 돋는 잎은 깃처럼 갈라지며 줄기에 달린 잎은 어긋나기하고 잎자루가 없다. 꽃은 5∼6월에 원줄기 끝에 많이 달려 총상화서를 형성한다. 열매는 각과로 편평한 도삼각형이고 요두이며 털이 없다. ☞ 과실이 도삼각형이고 경생엽은 성상모가 섞여난다.,"한국(전국), 중국",제채(薺菜),전초를 개화 시에 채취하여 햇볕에 말린다.,"간질, 거풍, 건위, 견비통, 결막염, 고혈압, 두통, 명목, 부인하혈, 부종, 소아열병, 소아이질, 안심정지, 열격, 열병, 위경련, 위열, 이완출혈, 임질, 자궁수축, 적백리, 중풍, 지혈, 천식, 치통, 토혈, 통리수도, 폐결핵, 폐기천식, 폐농양, 폐렴, 하리, 해독, 해수, 간경변증 등",(내복): 탕전(湯煎)하거나 환제 또는 가루약으로 복용한다. (외용): 짓찧어서 즙액을 상처 부위에 바르거나 점안(點眼)한다
